conspect1,conspect2,conspect3,conspectus_name
6,2,3,Vojenská technika
6,2,6,Vodní stavitelství. Vodní hospodářství
6,2,4,Stavební inženýrství
6,2,5,Pozemní komunikace. Železniční stavitelství
6,2,8,Sanitární technika. Vodárenství. Odpadové hospodářství. Světelná technika
6,2,9,Dopravní prostředky
6,2,,Technika všeobecně
6,3,0,Lesnictví
6,3,9,Rybářství a myslivnost
6,3,1,Zemědělství. Pedologie. Agrotechnika. Agroekologie
6,3,2,Ochrana rostlin. Fytopatologie
6,3,3,Rostlinná výroba
6,3,4,Ovocnářství
6,3,5,Zahrádkářství
6,3,6,Chov zvířat. Živočišná výroba
6,3,7,Živočišné produkty
6,3,8,Včelařství
6,3,,Zemědělství a příbuzné oblasti vědy a techniky
6,4,1,Kuchařství. Potraviny. Vařená jídla
6,4,0,Hotelnictví. Stravování
6,4,2,Číšnictví. Servírování
6,4,3,Byt. Místnosti. Vybavení bytu
6,4,4,Bytové zařízení (sanitární)
6,4,5,Nábytek
3,3,6,Finance
6,4,6,Odívání. Péče o tělo
6,4,8,Praní. Čištění
6,4,,Domácí hospodářství
6,5,4,Telekomunikace a dálkové řízení
6,5,5,Polygrafie. Vydavatelství a knižní obchod
6,5,6,Doprava
6,5,7,Účetnictví
6,5,8,Řízení a správa podniku
6,5,9,Reklama. Public relations. Média
6,6,1,Chemikálie
6,6,2,Výbušniny. Paliva
6,6,3,Průmysl nápojů. Kvasný průmysl. Průmysl pochutin
6,6,4,Potravinářský průmysl
6,6,5,Oleje. Tuky. Vosky. Pojiva. Pryskyřice
6,6,6,Sklářství. Keramika. Cement
6,6,7,Průmysl barviv
6,6,9,Metalurgie
6,6,,Chemický průmysl. Chemická technologie
6,7,1,Předměty z drahých kovů
6,7,2,Předměty ze železa a oceli
6,7,,Řemesla. Různá odvětví průmyslu
6,7,3,Předměty z neželezných kovů
6,7,4,Dřevo. Dřevařský průmysl
6,7,5,Kožedělný průmysl
6,7,6,Papírenský průmysl
6,7,7,Textilní průmysl
6,7,8,Průmysl makromolekulárních látek. Gumárenský průmysl. Průmysl plastů
6,8,1,Přesná mechanika a přístroje
